Title,Subtitle,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Buttes-Montmartre,Cozy apartment in Montmartre,€ 666 total,https://www.airbnb.comwww.airbnb.com/rooms/1140643979739268358?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_ap6%2FqEg18x3Su%2Byn&previous_page_section_name=1000,2,New,N/A,2024-08-02,2024-08-04,No,No,1140643979739268358
Apartment in Bonne-Nouvelle,Wonderful luxury flat center of Paris,"€ 1,475 total",https://www.airbnb.comwww.airbnb.com/rooms/1014349750273680883?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_p8nFDhuJg4DRFC8r&previous_page_section_name=1000,2,4.5 (14),N/A,2024-08-02,2024-08-04,No,No,1014349750273680883
Apartment in Temple,Marais - République,"€ 1,434 total",https://www.airbnb.comwww.airbnb.com/rooms/1087571858519406095?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_wTp1uJtC0hAux685&previous_page_section_name=1000,2,4.89 (9),Guest favorite,2024-08-02,2024-08-04,No,No,1087571858519406095
Apartment in Bonne-Nouvelle,LivinParis | Luxury 3 Bedrooms Grand-Boulevard II,"€ 1,959 total",https://www.airbnb.comwww.airbnb.com/rooms/13386132?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_m7VWiusmi3fYCOoY&previous_page_section_name=1000,2,4.7 (248),N/A,2024-08-02,2024-08-04,No,Yes,13386132
Apartment in Paris,Louvre Montorgueuil Historical center 3BR II,"€ 4,125 total",https://www.airbnb.comwww.airbnb.com/rooms/1078307026615081014?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-01&check_out=2024-08-04&source_impression_id=p3_1716141278_VcFaC%2BEmotNeXWLZ&previous_page_section_name=1000,2,4.9 (10),Aug 1 – 4,2024-08-02,2024-08-04,No,No,1078307026615081014
Apartment in Palais-Royal,"Colonnade, 3br/2ba, 6 people","€ 3,359 total",https://www.airbnb.comwww.airbnb.com/rooms/903575193975931845?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-01&check_out=2024-08-04&source_impression_id=p3_1716141278_yJ8yfEvaXX%2FASAht&previous_page_section_name=1000,2,4.71 (7),Aug 1 – 4,2024-08-02,2024-08-04,No,No,903575193975931845
Apartment in Paris,3 bedroom 3 bathroom apartment with AC,"€ 7,929 total",https://www.airbnb.comwww.airbnb.com/rooms/932607956634548337?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-01&check_out=2024-08-04&source_impression_id=p3_1716141278_v9m2G%2B3HJyHn%2Fizb&previous_page_section_name=1000,2,4.97 (29),Aug 1 – 4,2024-08-02,2024-08-04,Yes,No,932607956634548337
Apartment in Opéra,Luxury 4 beds/bathrooms Apartment at Opera with AC,"€ 10,407 total",https://www.airbnb.comwww.airbnb.com/rooms/13330999?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-01&check_out=2024-08-04&source_impression_id=p3_1716141278_CutkdWdCl68i3nmo&previous_page_section_name=1000,2,4.86 (161),Aug 1 – 4,2024-08-02,2024-08-04,Yes,No,13330999
Apartment in Paris,"La Table, 3br/3ba, 6 people","€ 5,395 total",https://www.airbnb.comwww.airbnb.com/rooms/43395182?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-01&check_out=2024-08-05&source_impression_id=p3_1716141278_3bNfwjpNHgMwpM59&previous_page_section_name=1000,2,4.75 (28),Aug 1 – 5,2024-08-02,2024-08-04,No,No,43395182
Apartment in Opéra,"Quartier Montorgueil, Paris centre","€ 3,107 total",https://www.airbnb.comwww.airbnb.com/rooms/16584327?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-08-01&check_out=2024-08-05&source_impression_id=p3_1716141278_DeAeUk5j%2FQcuxJiz&previous_page_section_name=1000,2,5.0 (5),Aug 1 – 5,2024-08-02,2024-08-04,No,No,16584327
Apartment in Bonne-Nouvelle,Grandiose apartment in the heart of Paris.,"€ 2,789 total",https://www.airbnb.comwww.airbnb.com/rooms/773052174164998718?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_8UEk%2BOR2onnbkDYl&previous_page_section_name=1000,2,4.98 (61),Superhost,2024-08-02,2024-08-04,Yes,No,773052174164998718
Apartment in Bonne-Nouvelle,LivinParis | Luxury 3 Bedrooms Grand-Boulevard I,"€ 1,875 total",https://www.airbnb.comwww.airbnb.com/rooms/13386060?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_WD821ool2nhd03gh&previous_page_section_name=1000,2,4.58 (278),N/A,2024-08-02,2024-08-04,No,Yes,13386060
Apartment in Bonne-Nouvelle,Paris hyper center 100m² charming flat,"€ 1,699 total",https://www.airbnb.comwww.airbnb.com/rooms/611272907517514933?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_UrEWWTPuoz4EXnDG&previous_page_section_name=1000,2,4.72 (39),N/A,2024-08-02,2024-08-04,No,No,611272907517514933
Apartment in Les Halles,Superb apartment in Paris - Louvre / Halles I,"€ 1,761 total",https://www.airbnb.comwww.airbnb.com/rooms/719382357400893205?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_lZK8ezvzMt2u0tPG&previous_page_section_name=1000,2,4.54 (69),N/A,2024-08-02,2024-08-04,No,No,719382357400893205
Apartment in Saint Ambroise,Cozy apartment in the heart of Paris,€ 933 total,https://www.airbnb.comwww.airbnb.com/rooms/1157223811976965848?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_H%2FIPwSNjGYUA7WAD&previous_page_section_name=1000,2,New,N/A,2024-08-02,2024-08-04,No,No,1157223811976965848
Apartment in Bonne-Nouvelle,Amazing Apartment - 6P/2BR -Sentier/Bonne-Nouvelle,"€ 1,735 total",https://www.airbnb.comwww.airbnb.com/rooms/873017003912847803?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_l88SiEthpqgFXCxt&previous_page_section_name=1000,2,4.77 (43),N/A,2024-08-02,2024-08-04,Yes,No,873017003912847803
Apartment in Opéra,Beautiful Appartment w/ AC in Grands Boulevards,"€ 2,003 total",https://www.airbnb.comwww.airbnb.com/rooms/608544588160613640?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_tNnw9L6HVPp0ZYxx&previous_page_section_name=1000,2,4.8 (122),N/A,2024-08-02,2024-08-04,No,No,608544588160613640
Apartment in Opéra,Great apartment in the heart of Paris!,"€ 1,407 total",https://www.airbnb.comwww.airbnb.com/rooms/1155067808951192296?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_yET1t7uQfIjTtOtD&previous_page_section_name=1000,2,New,N/A,2024-08-02,2024-08-04,No,No,1155067808951192296
Apartment in Paris,Spacious Design & Bright in the Heart of the 10th,"€ 1,652 total",https://www.airbnb.comwww.airbnb.com/rooms/1110036201637860044?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141277_51zY3jmqrOT4OSqr&previous_page_section_name=1000,2,New,N/A,2024-08-02,2024-08-04,No,No,1110036201637860044
Apartment in Opéra,Beautiful apartment 10 min from the Opera and the Louvre,"€ 1,786 total",https://www.airbnb.comwww.airbnb.com/rooms/38810726?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141283_ER%2F7lK7%2FDVmk0htH&previous_page_section_name=1000,2,4.91 (53),Superhost,2024-08-02,2024-08-04,No,No,38810726
Apartment in Palais-Royal,Apartment in the heart of Paris,"€ 2,752 total",https://www.airbnb.comwww.airbnb.com/rooms/1132937252864236811?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141283_sNMvkbtKH2duA%2F%2Fi&previous_page_section_name=1000,2,New,N/A,2024-08-02,2024-08-04,No,No,1132937252864236811
Apartment in Paris,LivinParis | Luxury 2 Bedrooms Opera III,"€ 1,645 total",https://www.airbnb.comwww.airbnb.com/rooms/41576801?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141283_QGRf%2FbhT0txR%2B2Rq&previous_page_section_name=1000,2,4.8 (201),Superhost,2024-08-02,2024-08-04,No,Yes,41576801
Apartment in Opéra,Luxury typical Parisian flat - 5 min from Louvre,"€ 2,395 total",https://www.airbnb.comwww.airbnb.com/rooms/1149236056061519646?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141283_vD3s4MEiQ7zA9PnZ&previous_page_section_name=1000,2,New,N/A,2024-08-02,2024-08-04,No,No,1149236056061519646
Apartment in Paris,Incredible apartment 3BDR/8PAX in the city center,"€ 3,397 total",https://www.airbnb.comwww.airbnb.com/rooms/1049475896885377461?adults=6&search_mode=regular_search&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1716141283_eqKHcElL5vMBZkFe&previous_page_section_name=1000,2,4.86 (14),Guest favorite,2024-08-02,2024-08-04,No,No,1049475896885377461
