Title,Subtitle,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Opéra,"2 beds, 1 sofa bed / Musée Grévin - Folies Bergère","€ 1,038 total",https://www.airbnb.comwww.airbnb.com/rooms/615159845480893457?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_LTsDyACuqz%2BJeVzw&previous_page_section_name=1000,2,4.74 (143),N/A,2024-06-03,2024-06-07,No,No,615159845480893457
Apartment in Bonne-Nouvelle,Enjoy Parisian Lifestyle in a Cosy Apartment,"€ 1,595 total",https://www.airbnb.comwww.airbnb.com/rooms/1112901422421111446?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_sDhU5bZ5s7rh2J2T&previous_page_section_name=1000,2,5.0 (4),N/A,2024-06-03,2024-06-07,No,No,1112901422421111446
Apartment in Opéra,Montmartre Sacré-Coeur: garden apartment 6/8P,"€ 1,194 total",https://www.airbnb.comwww.airbnb.com/rooms/747609434999307909?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_a4uOUcMl6g%2Bi5fjp&previous_page_section_name=1000,2,4.79 (111),Superhost,2024-06-03,2024-06-07,No,No,747609434999307909
Apartment in Palais-Royal,Typical Parisian Flat#3Bedrooms#Opera#Louvre,"€ 2,554 total",https://www.airbnb.comwww.airbnb.com/rooms/1020172770222147363?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_eQYXYHvfofFx6Shg&previous_page_section_name=1000,2,4.83 (12),N/A,2024-06-03,2024-06-07,No,No,1020172770222147363
Apartment in Opéra,Amazing in Central Paris,"€ 1,559 total",https://www.airbnb.comwww.airbnb.com/rooms/1155725965469133420?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_O%2BmyDMjXTgJscrjA&previous_page_section_name=1000,2,New,N/A,2024-06-03,2024-06-07,No,No,1155725965469133420
Apartment in Opéra,Amazing Apartment - 8P/3BR - Sentier,"€ 2,083 total",https://www.airbnb.comwww.airbnb.com/rooms/777478072805505517?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_L22lSK2SLuYjkQZO&previous_page_section_name=1000,2,4.53 (51),N/A,2024-06-03,2024-06-07,No,No,777478072805505517
Apartment in Les Halles,Beautiful apartment Paris Centre!,"€ 1,732 total",https://www.airbnb.comwww.airbnb.com/rooms/1137466536424360565?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_6K%2FPrxcDRv%2FVEqAJ&previous_page_section_name=1000,2,New,N/A,2024-06-03,2024-06-07,No,No,1137466536424360565
Apartment in Bonne-Nouvelle,Beautiful apartment in the heart of Paris,"€ 1,372 total",https://www.airbnb.comwww.airbnb.com/rooms/736838881444294284?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_6WiT3ZTdK8DY9PyP&previous_page_section_name=1000,2,4.7 (61),N/A,2024-06-03,2024-06-07,No,No,736838881444294284
Apartment in Les Halles,Louvre Montorgueil 2 Br apartment,"€ 1,575 total",https://www.airbnb.comwww.airbnb.com/rooms/36058320?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_S58ot9ZQGZkOXhoe&previous_page_section_name=1000,2,4.6 (88),N/A,2024-06-03,2024-06-07,No,No,36058320
Apartment in Les Halles,Magnificent apartment - 5BR/12P - Louvre/Rivoli,"€ 4,147 total",https://www.airbnb.comwww.airbnb.com/rooms/1156946814560192938?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_Q2tlVS8%2BaJ0yUsPA&previous_page_section_name=1000,2,New,N/A,2024-06-03,2024-06-07,No,No,1156946814560192938
Apartment in Paris,Splendid apartment - 8pers - Center Paris,"€ 1,768 total",https://www.airbnb.comwww.airbnb.com/rooms/43635890?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_g5KFf3Ipnk72waq9&previous_page_section_name=1000,2,4.69 (190),N/A,2024-06-03,2024-06-07,Yes,No,43635890
Apartment in Bonne-Nouvelle,Superb and new apartment in the Center of Paris,"€ 2,785 total",https://www.airbnb.comwww.airbnb.com/rooms/1096276964031121612?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_%2B0AsXtNctcg%2F8kQM&previous_page_section_name=1000,2,4.89 (9),Guest favorite,2024-06-03,2024-06-07,No,No,1096276964031121612
Apartment in Place Vendôme,Extraordinary Apt 6 pers - Louvre Museum/Tuileries,"€ 3,289 total",https://www.airbnb.comwww.airbnb.com/rooms/37699024?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_NCqO%2BUKRPjwvrK%2FI&previous_page_section_name=1000,2,4.84 (110),Superhost,2024-06-03,2024-06-07,No,No,37699024
Apartment in Opéra,Fantastic apartment for 8 people with AC,"€ 2,663 total",https://www.airbnb.comwww.airbnb.com/rooms/13670403?adults=6&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1716141277_uLmCXNLk%2BJ1VwGfJ&previous_page_section_name=1000,2,4.73 (164),N/A,2024-06-03,2024-06-07,Yes,No,13670403
Apartment in Bonne-Nouvelle,Sublime in the heart of Paris.,"€ 2,326 total",https://www.airbnb.comwww.airbnb.com/rooms/930909044410593072?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-04&check_out=2024-06-06&source_impression_id=p3_1716141278_fw5eajZSuRiiuYzs&previous_page_section_name=1000,2,4.95 (40),Jun 4 – 6,2024-06-03,2024-06-07,Yes,No,930909044410593072
Apartment in Temple,Fancy Home close to Montorgueil/Marais,"€ 1,164 total",https://www.airbnb.comwww.airbnb.com/rooms/1067185846882110336?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-03&check_out=2024-06-05&source_impression_id=p3_1716141278_XcaR%2B6EMyhiqO9s5&previous_page_section_name=1000,2,5.0 (6),Jun 3 – 5,2024-06-03,2024-06-07,Yes,No,1067185846882110336
