Title,Subtitle,Detail,Price,URL,Bedrooms,Review_rating,Superhost,Competitor,Livinparis,Listing_id
Apartment in Bonne-Nouvelle,N/A,Elegant apartment on rue de Trévise,"€ 2,066 total",https://www.airbnb.com/rooms/43155400?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-07-02&check_out=2024-07-05&source_impression_id=p3_1711272680_CwuXFdbtMqJ%2BPRMn&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,N/A,No,No,43155400
Apartment in Temple,N/A,"7 beds
7 beds
5 bedrooms
,
 · 5 bedrooms","€ 2,781 total",https://www.airbnb.com/rooms/1100561700307897899?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_uCAhmgTKZhCaRvAw&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,N/A,No,No,1100561700307897899
Apartment in Paris,N/A,Great for visiting Paris with family,"€ 4,678 total",https://www.airbnb.com/rooms/1086970514019174696?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_txeYWmvENoV%2FE7TF&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,N/A,No,No,1086970514019174696
Apartment in Opéra,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms","€ 4,790 total",https://www.airbnb.com/rooms/1079553674758463661?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_o8ebHQ4dBmTPAGJQ&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,N/A,No,No,1079553674758463661
Apartment in Opéra,N/A,Chic Apartment Palais Royal RICHELIEU,"€ 5,686 total",https://www.airbnb.com/rooms/1097193063852512017?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_slL9%2FS13FOcIk7T7&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,4.91 (22),N/A,No,No,1097193063852512017
Apartment in Opéra,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms","€ 2,353 total",https://www.airbnb.com/rooms/974549133785183538?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_bvCym47VBeuWuBT2&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,N/A,Yes,No,974549133785183538
Apartment in Bonne-Nouvelle,N/A,Chic Apartment in Opera (6/8 people),"€ 3,301 total",https://www.airbnb.com/rooms/1110776601533907427?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_1oW2ZyBYAQAjI01O&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,N/A,No,No,1110776601533907427
Apartment in Opéra,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms","€ 4,162 total",https://www.airbnb.com/rooms/1091134697464951891?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_t%2BaLsC2PVx0qg1hN&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,N/A,No,No,1091134697464951891
Apartment in Paris,N/A,Fantastic apartment for 8 people with AC,"€ 2,722 total",https://www.airbnb.com/rooms/1076786909030901817?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_8xxOh27WNAKrQHbU&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,New,N/A,No,No,1076786909030901817
Apartment in Opéra,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 3,279 total",https://www.airbnb.com/rooms/1095615039240951105?adults=6&check_in=2024-07-01&check_out=2024-07-05&source_impression_id=p3_1711272680_aN15S6u%2BX0RqZUT8&previous_page_section_name=1000&federated_search_id=23e025b6-ebd2-48cf-9ad8-318a3e39c52f,2,N/A,N/A,No,No,1095615039240951105
