Title,Subtitle,Detail,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Bonne-Nouvelle,N/A,Amazing Apartment - 8P/3BR - Trail/Bonne-New,"€ 1,241 total",https://www.airbnb.com/rooms/777489341031566750?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_Lj7%2BDO9p8dq8abEP&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,4.62 (61),Guest favorite,2024-05-03,2024-05-05,No,No,777489341031566750
Apartment in Opéra,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,664 total",https://www.airbnb.com/rooms/872140231900255014?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_7SVPzPIftkGHNV0C&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,4.96 (28),Guest favorite,2024-05-03,2024-05-05,Yes,No,872140231900255014
Apartment in Les Halles,N/A,"New Top floor 3 BED/3BATH, and AC, by Opera!",€ 994 total,https://www.airbnb.com/rooms/1099206870677546619?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_AcU7mkGs08uUxneC&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,New,Superhost,2024-05-03,2024-05-05,No,No,1099206870677546619
Apartment in Bonne-Nouvelle,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms",€ 905 total,https://www.airbnb.com/rooms/1035308591189744528?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_D2GgmiAjyvSpsQbJ&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,5.0 (5),Guest favorite,2024-05-03,2024-05-05,No,No,1035308591189744528
Apartment in Temple,N/A,Stunning architect-designed duplex,"€ 1,182 total",https://www.airbnb.com/rooms/1117316307067713903?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_G4Fo2nj3ZKfAFs%2F1&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,New,N/A,2024-05-03,2024-05-05,No,No,1117316307067713903
Apartment in Saint Ambroise,N/A,"3 bedrooms
3 bedrooms",€ 676 total,https://www.airbnb.com/rooms/1116592438641631693?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_%2BQ6EqNCrD01dnbac&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,New,N/A,2024-05-03,2024-05-05,No,No,1116592438641631693
Apartment in Les Halles,N/A,Modern Paris center apartment,"€ 1,025 total",https://www.airbnb.com/rooms/752246160802279728?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_N3utXiTXzWKeMQv4&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,4.79 (53),N/A,2024-05-03,2024-05-05,No,No,752246160802279728
Apartment in Opéra,N/A,"4 beds
4 beds
2 bedrooms
,
 · 2 bedrooms",€ 797 total,https://www.airbnb.com/rooms/567943816858262632?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_oI9US2J9%2Fvf97Wgd&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,4.49 (140),N/A,2024-05-03,2024-05-05,No,No,567943816858262632
Apartment in Paris,N/A,Loft atypique - Paris Centre,€ 893 total,https://www.airbnb.com/rooms/844226743450301279?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_cDznr2ROoxs4SiQR&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,4.71 (28),N/A,2024-05-03,2024-05-05,No,No,844226743450301279
Apartment in Les Halles,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,146 total",https://www.airbnb.com/rooms/719382357400893205?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_YfZSMx7pwNyLkrSr&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,4.52 (60),N/A,2024-05-03,2024-05-05,No,No,719382357400893205
Apartment in Palais-Royal,N/A,Spacious 3BD Family Flat w/ Balcony—Ménilmontant,"€ 1,056 total",https://www.airbnb.com/rooms/1087647685540952579?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_GQtKBXH%2F42v%2FME1K&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,New,N/A,2024-05-03,2024-05-05,No,No,1087647685540952579
Apartment in Bonne-Nouvelle,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms",€ 966 total,https://www.airbnb.com/rooms/654897144021713552?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_%2BfHuhRVsslW11oXF&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,4.13 (24),N/A,2024-05-03,2024-05-05,No,No,654897144021713552
Apartment in Temple,N/A,Amazing apartment - 6P/2BR - Châtelet / Rivoli,"€ 1,014 total",https://www.airbnb.com/rooms/44406800?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_zY0kD%2BG%2BfTr18F4K&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,4.82 (148),N/A,2024-05-03,2024-05-05,No,No,44406800
Apartment in Temple,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 1,276 total",https://www.airbnb.com/rooms/1092062148035570485?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_GDvxF9JLwc0%2FDFsI&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,5.0 (6),N/A,2024-05-03,2024-05-05,No,No,1092062148035570485
Apartment in Saint Germain Des Prés,N/A,Green apartment near Montmartre and Opéra,"€ 1,231 total",https://www.airbnb.com/rooms/1088398451707179894?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_40D5%2BnIMYfK4geOO&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,New,N/A,2024-05-03,2024-05-05,No,No,1088398451707179894
Apartment in Paris,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms",€ 840 total,https://www.airbnb.com/rooms/1105689776115559270?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_KhbhX%2FIywAU1csPN&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,New,N/A,2024-05-03,2024-05-05,No,No,1105689776115559270
Apartment in Opéra,N/A,Family apartment in the heart of Paris,"€ 1,269 total",https://www.airbnb.com/rooms/836871419787837045?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_z%2BSMHb%2BlNuyx94Ig&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,4.59 (44),N/A,2024-05-03,2024-05-05,No,No,836871419787837045
Apartment in Temple,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,065 total",https://www.airbnb.com/rooms/730920306722308500?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706185_z93L39xYqD4fNwM0&previous_page_section_name=1000&federated_search_id=2e59cb9f-6a51-409d-8b54-f1ef5843d53b,2,4.47 (66),N/A,2024-05-03,2024-05-05,No,No,730920306722308500
Apartment in Paris,N/A,Apartment in the heart of Paris.,€ 800 total,https://www.airbnb.com/rooms/1098289377706425307?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706190_z7OACcOdN%2BwSY5vb&previous_page_section_name=1000&federated_search_id=7679f5e9-6e0c-40be-86c0-320be1800322,2,New,Superhost,2024-05-03,2024-05-05,No,No,1098289377706425307
Apartment in Paris,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms",€ 822 total,https://www.airbnb.com/rooms/1106961842823046643?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706190_DBAHFK2KBq6YhCDt&previous_page_section_name=1000&federated_search_id=7679f5e9-6e0c-40be-86c0-320be1800322,2,New,Guest favorite,2024-05-03,2024-05-05,No,No,1106961842823046643
Apartment in Paris,N/A,Romantic stay with hot tub in Pigalle -P6,€ 926 total,https://www.airbnb.com/rooms/1106987076546642019?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711706190_CkzHZcEQyBSIPp6a&previous_page_section_name=1000&federated_search_id=7679f5e9-6e0c-40be-86c0-320be1800322,2,New,Superhost,2024-05-03,2024-05-05,No,No,1106987076546642019
