Title,Subtitle,Detail,Price,URL,Bedrooms,Review_rating,Superhost,Competitor,Livinparis,Listing_id
Apartment in Temple,N/A,Loft atypique - Paris Centre,"€ 1,050 total",https://www.airbnb.com/rooms/1117316307067713903?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711269999_CM01QfbUZucaaxEz&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,New,Superhost,No,No,1117316307067713903
Apartment in Bonne-Nouvelle,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,297 total",https://www.airbnb.com/rooms/777489341031566750?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711269999_%2F301L7A2tnRQHAI7&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,4.62 (61),May 2 – 6,No,No,777489341031566750
Apartment in Bonne-Nouvelle,N/A,Amazing Apartment - 8P/3BR - Trail/Bonne-New,"€ 1,161 total",https://www.airbnb.com/rooms/53699366?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711269999_JdrjtGrokjmCyyP8&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,4.61 (75),May 2 – 5,No,No,53699366
Apartment in Les Halles,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,005 total",https://www.airbnb.com/rooms/719382357400893205?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711269999_65NQLiEAK3%2FOsN1U&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,4.5 (58),May 2 – 5,No,No,719382357400893205
Apartment in Paris,N/A,Luxury 3 bedroom 2 bathroom apartment - Louvre,"€ 1,597 total",https://www.airbnb.com/rooms/1068759626559812433?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711269999_8uRovPjCQP2I%2BgiK&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,New,May 2 – 5,No,Yes,1068759626559812433
Apartment in Les Halles,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms",€ 958 total,https://www.airbnb.com/rooms/817264289707401874?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711269999_ndsk86nbfz2fzZiO&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,4.41 (22),May 2 – 5,No,No,817264289707401874
Apartment in Opéra,N/A,Superb apartment in Paris - Louvre / Halles I,€ 728 total,https://www.airbnb.com/rooms/567943816858262632?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711269999_y%2F4CgWg1Upwzu53z&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,4.49 (139),May 2 – 6,No,No,567943816858262632
Apartment in Bonne-Nouvelle,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms",€ 905 total,https://www.airbnb.com/rooms/1035308591189744528?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711269999_PC5wnc%2FLtVtjv4%2BV&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,5.0 (4),Superhost,No,No,1035308591189744528
Apartment in Palais-Royal,N/A,LivinParis | NEW Luxury A/C 3 Bedrooms Le Louvre I,"€ 1,056 total",https://www.airbnb.com/rooms/1087647685540952579?adults=6&check_in=2024-05-03&check_out=2024-05-05&source_impression_id=p3_1711269999_1eP5bIupSzVZkumS&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,New,Superhost,No,No,1087647685540952579
Apartment in Temple,N/A,"5 beds
5 beds
3 bedrooms
,
 · 3 bedrooms","€ 2,573 total",https://www.airbnb.com/rooms/22578704?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-02&check_out=2024-05-06&source_impression_id=p3_1711269999_aYkrht1SpXGgeM7o&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,4.87 (189),Guest favorite,No,No,22578704
Apartment in Paris,N/A,"Elegant,Cosy,Le Louvre","€ 2,690 total",https://www.airbnb.com/rooms/932607956634548337?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-02&check_out=2024-05-05&source_impression_id=p3_1711269999_AooJ%2Ff5CkRpyRZy%2F&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,4.95 (21),Guest favorite,Yes,No,932607956634548337
Apartment in Opéra,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 2,955 total",https://www.airbnb.com/rooms/13330999?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-02&check_out=2024-05-05&source_impression_id=p3_1711269999_ThN7hMGNuVixcTjU&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,4.85 (157),Superhost,Yes,No,13330999
Loft in Bonne-Nouvelle,N/A,Green apartment near Montmartre and Opéra,"€ 2,085 total",https://www.airbnb.com/rooms/741144958913771102?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-02&check_out=2024-05-05&source_impression_id=p3_1711269999_fjoLCjben1s8M%2Fgu&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,5.0 (8),N/A,No,No,741144958913771102
Apartment in Bonne-Nouvelle,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 2,082 total",https://www.airbnb.com/rooms/820761770769971621?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-02&check_out=2024-05-05&source_impression_id=p3_1711269999_WIw1uDZQhMGXW5kP&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,5.0 (5),N/A,No,No,820761770769971621
Apartment in Les Halles,N/A,Modern Paris center apartment,"€ 2,834 total",https://www.airbnb.com/rooms/721395224888573438?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-02&check_out=2024-05-06&source_impression_id=p3_1711269999_Gd4X29I4Hz5re%2B1v&previous_page_section_name=1000&federated_search_id=66d1233c-281b-4c67-a08c-ed6544ae92c8,2,4.92 (63),N/A,Yes,No,721395224888573438
