Title,Subtitle,Detail,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Temple,N/A,Urban Flat 157 - Coco Chanel Flat in Montorgueil,€ 990 total,https://www.airbnb.com/rooms/1086128414306862912?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704174_mbyM72UoTEjXX0eP&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,4.5 (4),Guest favorite,2024-04-01,2024-04-05,No,No,1086128414306862912
Apartment in Bonne-Nouvelle,N/A,"5 beds
5 beds
2 bedrooms
,
 · 2 bedrooms","€ 1,299 total",https://www.airbnb.com/rooms/1110599104528739524?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_IfYxwGJfIFL3953B&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,New,Superhost,2024-04-01,2024-04-05,No,No,1110599104528739524
Apartment in Bonne-Nouvelle,N/A,Urban Flat 94 - Sublime 4bdr Flat Coco Chanel,"€ 1,312 total",https://www.airbnb.com/rooms/802721255886961020?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_b5l6ktimWX0X0tVW&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,4.55 (20),N/A,2024-04-01,2024-04-05,No,No,802721255886961020
Apartment in Bonne-Nouvelle,N/A,"8 beds
8 beds
4 bedrooms
,
 · 4 bedrooms","€ 1,573 total",https://www.airbnb.com/rooms/977210101392228896?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_lhGgqcSwXd8oWLfC&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,4.44 (9),N/A,2024-04-01,2024-04-05,No,No,977210101392228896
Apartment in Opéra,N/A,98 - Urban Flat Arts et Métiers,"€ 1,300 total",https://www.airbnb.com/rooms/1007668397436366344?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_iKEFK3MjSNimx56Z&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,4.47 (19),N/A,2024-04-01,2024-04-05,No,No,1007668397436366344
Apartment in Opéra,N/A,"6 beds
6 beds
4 bedrooms
,
 · 4 bedrooms","€ 1,502 total",https://www.airbnb.com/rooms/766431168203297178?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_qNPOnAOMblRAYUY8&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,4.6 (127),N/A,2024-04-01,2024-04-05,No,No,766431168203297178
Apartment in Bonne-Nouvelle,N/A,Urban Flat 108 - Charming Parisian Flat in Paris,"€ 1,073 total",https://www.airbnb.com/rooms/17093783?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_UHZMe8%2BpkmajeA6V&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,4.99 (96),N/A,2024-04-01,2024-04-05,No,No,17093783
Apartment in Père-Lachaise,N/A,"7 beds
7 beds
4 bedrooms
,
 · 4 bedrooms","€ 1,860 total",https://www.airbnb.com/rooms/41780755?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_smJY49wNaxBQyVyk&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,4.2 (97),N/A,2024-04-01,2024-04-05,No,No,41780755
Apartment in Paris,N/A,Urban Flat 110 - Luxury 3bdr Flat near Opera Paris,"€ 1,336 total",https://www.airbnb.com/rooms/43722213?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_0f2%2BEvIjscNP2IEy&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,New,N/A,2024-04-01,2024-04-05,No,No,43722213
Apartment in Temple,N/A,"6 beds
6 beds
3 bedrooms
,
 · 3 bedrooms","€ 2,212 total",https://www.airbnb.com/rooms/1097620132932768224?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_Eh0YtLvbdwv%2FZJzh&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,4.61 (36),N/A,2024-04-01,2024-04-05,No,No,1097620132932768224
Apartment in Paris,N/A,Superb apartment in the heart of the 2nd arrond of,"€ 3,003 total",https://www.airbnb.com/rooms/827417583936546185?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_FBi4MEM0iEjPBi3%2F&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,4.28 (89),N/A,2024-04-01,2024-04-05,No,No,827417583936546185
Apartment in Saint Ambroise,N/A,"5 beds
5 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,378 total",https://www.airbnb.com/rooms/40856749?adults=6&check_in=2024-04-01&check_out=2024-04-05&source_impression_id=p3_1711704175_DYbKnAiUkJPYzc2F&previous_page_section_name=1000&federated_search_id=7bb9f900-ae44-4b8c-aa1b-7213e5f99a0a,2,4.5 (32),N/A,2024-04-01,2024-04-05,No,No,40856749
