Title,Subtitle,Detail,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Paris,N/A,Grand Bellan - Montorgueuil,"€ 2,056 total",https://www.airbnb.com/rooms/28296057?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_fOrTwh1wIqXQlXau&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.66 (118),Superhost,2024-09-02,2024-09-06,No,No,28296057
Apartment in Opéra,N/A,"1 mile to Pont Alexandre III
1 mile to Pont Alexandre III","€ 4,253 total",https://www.airbnb.com/rooms/49400088?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_rPJpHiR%2FitJhvcjt&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.85 (115),Guest favorite,2024-09-02,2024-09-06,No,No,49400088
Apartment in Temple,N/A,Luxury apartment in Paris near Opéra-Place Vendôme,"€ 2,378 total",https://www.airbnb.com/rooms/644824505559446931?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_3z16ae0p05NhxYW0&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.71 (113),Guest favorite,2024-09-02,2024-09-06,No,No,644824505559446931
Apartment in Opéra,N/A,"1 mile to Grand Palais
1 mile to Grand Palais","€ 3,247 total",https://www.airbnb.com/rooms/872140231900255014?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_dufKZ9PzeBQ6C89V&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.96 (28),Superhost,2024-09-02,2024-09-06,Yes,No,872140231900255014
Apartment in Opéra,N/A,Charming family apartment in Paris center,"€ 3,053 total",https://www.airbnb.com/rooms/983754651962578185?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_OH9Uok6Sod9tadKY&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,5.0 (28),Superhost,2024-09-02,2024-09-06,No,No,983754651962578185
Apartment in Paris,N/A,"2 miles to Pont Alexandre III
2 miles to Pont Alexandre III","€ 1,561 total",https://www.airbnb.com/rooms/1206058?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_xiC%2BAgDJejSjwh7K&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.69 (456),Guest favorite,2024-09-02,2024-09-06,No,No,1206058
Apartment in Les Halles,N/A,"New Top floor 3 BED/3BATH, and AC, by Opera!","€ 2,857 total",https://www.airbnb.com/rooms/36069798?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_2dE7TUjldcU%2FZIy0&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.79 (108),Guest favorite,2024-09-02,2024-09-06,Yes,No,36069798
Apartment in Temple,N/A,"1 mile to Grand Palais
1 mile to Grand Palais","€ 2,839 total",https://www.airbnb.com/rooms/22578704?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_bH2kinHFUFYnGwcE&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.87 (190),Guest favorite,2024-09-02,2024-09-06,No,No,22578704
Loft in Temple,N/A,RARE Chic Top-Floor Parisian Apt with Rooftop View,"€ 2,284 total",https://www.airbnb.com/rooms/11267264?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_DqSfQeq9awnpSVQe&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.81 (130),Superhost,2024-09-02,2024-09-06,No,No,11267264
Apartment in Buttes-Montmartre,N/A,"2 miles to Grand Palais
2 miles to Grand Palais","€ 1,124 total",https://www.airbnb.com/rooms/1046881324098102503?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_VanjaL7nnYcNRrC9&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.74 (253),Guest favorite,2024-09-02,2024-09-06,No,No,1046881324098102503
Loft in Les Halles,N/A,☆ Walk Score 99 ☆ 1GBPS Wifi ☆ Full Kitchen ☆,"€ 2,172 total",https://www.airbnb.com/rooms/36450873?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_QagwkNuYiah0htMU&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.82 (113),Sep 1 – 6,2024-09-02,2024-09-06,Yes,No,36450873
Apartment in Opéra,N/A,"2 miles to Porte de La Chapelle Arena
2 miles to Porte de La Chapelle Arena","€ 2,621 total",https://www.airbnb.com/rooms/608544588160613640?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_xj8qz%2F7WQ3rhOql8&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.41 (22),Sep 1 – 6,2024-09-02,2024-09-06,No,No,608544588160613640
Apartment in Les Halles,N/A,"1st district Louvre, Notre Dame, 8 guests - AC","€ 1,568 total",https://www.airbnb.com/rooms/5753358?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_mWi9JdQlOLVPy2Rc&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.94 (32),Sep 1 – 6,2024-09-02,2024-09-06,No,No,5753358
Apartment in Bonne-Nouvelle,N/A,"1 mile to Pont Alexandre III
1 mile to Pont Alexandre III","€ 5,550 total",https://www.airbnb.com/rooms/930909044410593072?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_gdLiP92GqzuvpS0I&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.81 (37),Sep 1 – 6,2024-09-02,2024-09-06,Yes,No,930909044410593072
Apartment in Hôpital Saint-Louis,N/A,Historical 3 bedroom apartment in Le Marais,"€ 1,213 total",https://www.airbnb.com/rooms/938396034514073848?adults=6&check_in=2024-09-02&check_out=2024-09-06&source_impression_id=p3_1711714178_aJz7lBLQyBRCE6ws&previous_page_section_name=1000&federated_search_id=9936b4e5-4e98-4566-9b58-bb9384a380e5,2,4.8 (5),Sep 1 – 6,2024-09-02,2024-09-06,No,No,938396034514073848
