Title,Subtitle,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Paris,NEW | Parisian Purity | 2 CH -,"€ 1,471 total",https://www.airbnb.comwww.airbnb.com/rooms/1079815742588735021?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-07&source_impression_id=p3_1716141279_7%2Fi0J6fhhYk%2Bn9yi&previous_page_section_name=1000,2,5.0 (4),Oct 4 – 7,2024-10-04,2024-10-06,No,No,1079815742588735021
Apartment in Opéra,Duplex with balcony in the heart of Paris,"€ 2,503 total",https://www.airbnb.comwww.airbnb.com/rooms/922311640745574824?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-03&check_out=2024-10-07&source_impression_id=p3_1716141279_PYuKmfqeGWC0wRGA&previous_page_section_name=1000,2,5.0 (6),Oct 3 – 7,2024-10-04,2024-10-06,No,No,922311640745574824
Apartment in Opéra,NEW | Suite Opéra | Louvre | CLIM |2 CH,"€ 2,615 total",https://www.airbnb.comwww.airbnb.com/rooms/1078966908853262194?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-07&source_impression_id=p3_1716141279_50Th5f9z4Vnj64Qd&previous_page_section_name=1000,2,5.0 (8),Oct 4 – 7,2024-10-04,2024-10-06,No,No,1078966908853262194
Apartment in Bonne-Nouvelle,216 Suite Vintage spirit - Superb Apartement,"€ 2,297 total",https://www.airbnb.comwww.airbnb.com/rooms/53530344?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-07&source_impression_id=p3_1716141279_uhwRDEMj%2FAme2PrN&previous_page_section_name=1000,2,4.87 (104),Oct 4 – 7,2024-10-04,2024-10-06,Yes,No,53530344
Apartment in Bonne-Nouvelle,3 Bedroom Center Apartment,€ 926 total,https://www.airbnb.comwww.airbnb.com/rooms/1122403378962049416?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_0FeCnQUxvoOjbA5v&previous_page_section_name=1000,2,New,N/A,2024-10-04,2024-10-06,No,No,1122403378962049416
Apartment in Bonne-Nouvelle,Grandiose apartment in the heart of Paris.,"€ 2,644 total",https://www.airbnb.comwww.airbnb.com/rooms/773052174164998718?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_Nw9wIIoN5Q7uVQNc&previous_page_section_name=1000,2,4.98 (61),Superhost,2024-10-04,2024-10-06,Yes,No,773052174164998718
Apartment in Opéra,Luxury typical Parisian flat - 5 min from Louvre,"€ 1,475 total",https://www.airbnb.comwww.airbnb.com/rooms/1149236056061519646?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_bTrVAw1dq9gWeKZ9&previous_page_section_name=1000,2,New,N/A,2024-10-04,2024-10-06,No,No,1149236056061519646
Apartment in Paris,LivinParis | NEW Luxury A/C 3 Bedrooms Le Louvre I,"€ 2,399 total",https://www.airbnb.comwww.airbnb.com/rooms/1068759626559812433?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141278_cqNY%2F6lyuH6iO723&previous_page_section_name=1000,2,5.0 (6),Guest favorite,2024-10-04,2024-10-06,No,Yes,1068759626559812433
Apartment in Batignolles,New apartment 6P / Saint-Lazare,€ 796 total,https://www.airbnb.comwww.airbnb.com/rooms/1116398967825571976?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141282_VoNy3xrJZsaatyeT&previous_page_section_name=1000,2,5.0 (12),Guest favorite,2024-10-04,2024-10-06,No,No,1116398967825571976
Apartment in Paris,Spacious Design & Bright in the Heart of the 10th,"€ 1,256 total",https://www.airbnb.comwww.airbnb.com/rooms/1110036201637860044?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_YmE%2BU74yNXXT%2BKAW&previous_page_section_name=1000,2,New,N/A,2024-10-04,2024-10-06,No,No,1110036201637860044
Apartment in Palais-Bourbon,Saint Germain des prés - Orsay,"€ 1,505 total",https://www.airbnb.comwww.airbnb.com/rooms/1117184593500893233?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_riJ70ebObOaag8WE&previous_page_section_name=1000,2,New,N/A,2024-10-04,2024-10-06,No,No,1117184593500893233
Apartment in Bonne-Nouvelle,New apartment Center of Paris Place de la Bourse,"€ 1,214 total",https://www.airbnb.comwww.airbnb.com/rooms/1033980056838374123?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_rq%2Fp3ua64ty%2F3zFP&previous_page_section_name=1000,2,5.0 (8),Guest favorite,2024-10-04,2024-10-06,No,No,1033980056838374123
Apartment in Opéra,Outstanding apartment 3BDR/6PAX near Opéra,"€ 1,820 total",https://www.airbnb.comwww.airbnb.com/rooms/1134848788716880039?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_XataNzopPktmoDly&previous_page_section_name=1000,2,New,N/A,2024-10-04,2024-10-06,No,No,1134848788716880039
Apartment in Bonne-Nouvelle,Amazing Apartment - 8P/3BR -Sentier/Bonne,"€ 1,509 total",https://www.airbnb.comwww.airbnb.com/rooms/1133093614362483825?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_0l8hg8bwnyDq4inB&previous_page_section_name=1000,2,New,N/A,2024-10-04,2024-10-06,No,No,1133093614362483825
Apartment in Opéra,"2 beds, 1 sofa bed / Musée Grévin - Folies Bergère",€ 879 total,https://www.airbnb.comwww.airbnb.com/rooms/615159845480893457?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_F%2F15IhWfp0j9Pbgi&previous_page_section_name=1000,2,4.74 (143),N/A,2024-10-04,2024-10-06,No,No,615159845480893457
Apartment in Paris,Incredible apartment 3BDR/8PAX in the city center,"€ 2,161 total",https://www.airbnb.comwww.airbnb.com/rooms/1049475896885377461?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_XcT5jrC3BC7WD77B&previous_page_section_name=1000,2,4.86 (14),Guest favorite,2024-10-04,2024-10-06,No,No,1049475896885377461
Apartment in Bonne-Nouvelle,LivinParis | Luxury 3 BDR Grands-Boulevards III,"€ 1,665 total",https://www.airbnb.comwww.airbnb.com/rooms/13386198?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_xvLqHUgjNqAawBc1&previous_page_section_name=1000,2,4.61 (236),N/A,2024-10-04,2024-10-06,No,Yes,13386198
Apartment in Bonne-Nouvelle,Amazing Apartment - 6P/2BR -Sentier/Bonne-Nouvelle,"€ 1,231 total",https://www.airbnb.comwww.airbnb.com/rooms/873017003912847803?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_DFw4FTQnWEHA6ozi&previous_page_section_name=1000,2,4.77 (43),N/A,2024-10-04,2024-10-06,Yes,No,873017003912847803
Apartment in Bonne-Nouvelle,Luxury 2bedrooms flat Grands Boulevards 4/6P,"€ 1,216 total",https://www.airbnb.comwww.airbnb.com/rooms/751953260285920256?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_DwQA0UaaBMKlQSpW&previous_page_section_name=1000,2,4.59 (34),N/A,2024-10-04,2024-10-06,No,No,751953260285920256
Condo in Temple,Parisian house,€ 882 total,https://www.airbnb.comwww.airbnb.com/rooms/1095053352007463260?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_i%2B0bq9LPndMojGp1&previous_page_section_name=1000,2,5.0 (3),Superhost,2024-10-04,2024-10-06,No,No,1095053352007463260
Apartment in Opéra,Beautiful apartment for 6 - Montorgueil,"€ 2,168 total",https://www.airbnb.comwww.airbnb.com/rooms/978729563600361272?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_%2FoQRfd8S2rKN0pMq&previous_page_section_name=1000,2,4.89 (19),Guest favorite,2024-10-04,2024-10-06,No,No,978729563600361272
Apartment in Paris,105 sqm/3 bedrooms Gare du Nord / Canal St martin,€ 816 total,https://www.airbnb.comwww.airbnb.com/rooms/30858454?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_FMGYcXXsOZv0ibBi&previous_page_section_name=1000,2,4.84 (136),Superhost,2024-10-04,2024-10-06,Yes,No,30858454
Apartment in Temple,Luxurious & spacious in central Paris,"€ 1,886 total",https://www.airbnb.comwww.airbnb.com/rooms/1081142152543360356?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_ECmZzWO7PQJcFR%2FB&previous_page_section_name=1000,2,4.87 (15),Guest favorite,2024-10-04,2024-10-06,No,No,1081142152543360356
Apartment in Palais-Royal,Typical Parisian Flat#3Bedrooms#Opera#Louvre,"€ 1,939 total",https://www.airbnb.comwww.airbnb.com/rooms/1020172770222147363?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_d9N4vzo0032jk0DF&previous_page_section_name=1000,2,4.83 (12),N/A,2024-10-04,2024-10-06,No,No,1020172770222147363
Loft in Opéra,Loft Opéra/Lafayette 2 steps (Air conditioning),€ 999 total,https://www.airbnb.comwww.airbnb.com/rooms/40178284?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_VhORjsC0LgXPhkEj&previous_page_section_name=1000,2,4.85 (228),Superhost,2024-10-04,2024-10-06,No,No,40178284
Apartment in Paris,Cute Barbie flat in Paris !,€ 800 total,https://www.airbnb.comwww.airbnb.com/rooms/1104945813669704433?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141283_cHxaBlViHUHlCXE2&previous_page_section_name=1000,2,4.86 (7),N/A,2024-10-04,2024-10-06,No,No,1104945813669704433
Home in Batignolles,Luxurious maisonette in the heart of Batignolles 17th,€ 925 total,https://www.airbnb.comwww.airbnb.com/rooms/1092133809345286410?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_gmVxGfvvbxNtOSjM&previous_page_section_name=1000,2,4.82 (11),Guest favorite,2024-10-04,2024-10-06,No,No,1092133809345286410
Apartment in Temple,Very Central in Le Marais,"€ 1,053 total",https://www.airbnb.comwww.airbnb.com/rooms/4716092?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_2G8iAkwuRU4zJcHp&previous_page_section_name=1000,2,4.58 (386),N/A,2024-10-04,2024-10-06,No,No,4716092
Apartment in Opéra,OPERA - NEW LUXURY LOFT- 6P - 2BDR & 2BTR & LIFT,"€ 1,250 total",https://www.airbnb.comwww.airbnb.com/rooms/604152081477400986?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_Mdi8%2Fc7pzHqHqyee&previous_page_section_name=1000,2,4.78 (122),Superhost,2024-10-04,2024-10-06,No,No,604152081477400986
Apartment in Bonne-Nouvelle,Montorgeuil Louvre flat accomodates 6 persons,€ 887 total,https://www.airbnb.comwww.airbnb.com/rooms/1783495?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_T7SnBUqdDcq8tS0z&previous_page_section_name=1000,2,4.78 (147),Superhost,2024-10-04,2024-10-06,No,No,1783495
Apartment in Temple,Lovely flat for 7 - REPUBLIQUE,"€ 1,262 total",https://www.airbnb.comwww.airbnb.com/rooms/35509427?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_8LiXXyklAcQDikIK&previous_page_section_name=1000,2,4.71 (265),N/A,2024-10-04,2024-10-06,No,No,35509427
Apartment in Temple,Amazing flat w/ terrace in center Paris,"€ 1,445 total",https://www.airbnb.comwww.airbnb.com/rooms/649811895643646700?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_5L6hVdR7kfZFwonu&previous_page_section_name=1000,2,4.68 (114),N/A,2024-10-04,2024-10-06,No,No,649811895643646700
Apartment in Paris,Amazing apartment 3BDR/8PAX next to the Louvre,"€ 2,161 total",https://www.airbnb.comwww.airbnb.com/rooms/970724713956277226?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_MnTeR5kzB5Syyhmr&previous_page_section_name=1000,2,4.86 (37),Superhost,2024-10-04,2024-10-06,Yes,No,970724713956277226
Apartment in Batignolles,Charming street: Montmartre-Pigalle-Opéra,"€ 1,056 total",https://www.airbnb.comwww.airbnb.com/rooms/1140436335604239660?adults=6&search_mode=regular_search&check_in=2024-10-04&check_out=2024-10-06&source_impression_id=p3_1716141290_VdVgQdNbgc%2BR%2FfUK&previous_page_section_name=1000,2,New,Superhost,2024-10-04,2024-10-06,No,No,1140436335604239660
