Title,Subtitle,Detail,Price,URL,Bedrooms,Review_rating,Superhost,Check_in,Check_out,Competitor,Livinparis,Listing_id
Apartment in Bonne-Nouvelle,N/A,Spacious cocoon - near Place des Victoires,"€ 1,963 total",https://www.airbnb.com/rooms/1103422004689274643?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_M%2BYX1jBVAHqZLn6Z&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,New,Guest favorite,2024-08-02,2024-08-04,No,No,1103422004689274643
Apartment in Temple,N/A,"0.8 miles to Hôtel de Ville
0.8 miles to Hôtel de Ville","€ 2,865 total",https://www.airbnb.com/rooms/1113097884420309883?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_r%2FGjYC53lB8nWs7s&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,New,Guest favorite,2024-08-02,2024-08-04,No,No,1113097884420309883
Apartment in Opéra,N/A,Cozy apartment Grands Boulevards,"€ 1,066 total",https://www.airbnb.com/rooms/1093524582819483635?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_qXWtZGAY%2FA%2BXMBLR&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,New,Superhost,2024-08-02,2024-08-04,No,No,1093524582819483635
Apartment in Opéra,N/A,"0.8 miles to Hôtel de Ville
0.8 miles to Hôtel de Ville","€ 2,164 total",https://www.airbnb.com/rooms/974549133785183538?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_Sruf5rSO%2FQAKuO35&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.83 (23),Superhost,2024-08-02,2024-08-04,Yes,No,974549133785183538
Home in Paris,N/A,Beautiful Haussmannian apartment!,"€ 2,360 total",https://www.airbnb.com/rooms/6003504?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_Nu2zFatPuc6T5w73&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.87 (99),Superhost,2024-08-02,2024-08-04,No,No,6003504
Apartment in Temple,N/A,"1 mile to La Concorde
1 mile to La Concorde","€ 2,611 total",https://www.airbnb.com/rooms/649811895643646700?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_jsNZzZEvNI5RzpK2&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.68 (107),Aug 2 – 5,2024-08-02,2024-08-04,No,No,649811895643646700
Apartment in Opéra,N/A,Family apartment in Paris,"€ 2,632 total",https://www.airbnb.com/rooms/608544588160613640?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_ciJx7x4Rg0wz%2B4fO&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.82 (113),Aug 1 – 4,2024-08-02,2024-08-04,No,No,608544588160613640
Apartment in Hôpital Saint-Louis,N/A,"0.9 miles to Hôtel de Ville
0.9 miles to Hôtel de Ville","€ 1,292 total",https://www.airbnb.com/rooms/938396034514073848?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_zmyZ84E02UPjGm7e&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.81 (37),Aug 2 – 5,2024-08-02,2024-08-04,No,No,938396034514073848
Apartment in Opéra,N/A,A house in the heart of Paris!,"€ 2,214 total",https://www.airbnb.com/rooms/1066455495659707478?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_HdRJpvKEpZDucjI5&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.72 (39),Aug 1 – 4,2024-08-02,2024-08-04,No,No,1066455495659707478
Apartment in Bonne-Nouvelle,N/A,"1 mile to Hôtel de Ville
1 mile to Hôtel de Ville","€ 2,284 total",https://www.airbnb.com/rooms/611272907517514933?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_irovovAeeefmNkaD&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,New,Aug 1 – 4,2024-08-02,2024-08-04,No,No,611272907517514933
Apartment in Opéra,N/A,Amazing flat w/ terrace in center Paris,"€ 1,360 total",https://www.airbnb.com/rooms/1115712093781181952?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_pDVPG85hicVZFFCD&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.65 (389),Aug 1 – 4,2024-08-02,2024-08-04,No,No,1115712093781181952
Apartment in Temple,N/A,"0.7 miles to Hôtel de Ville
0.7 miles to Hôtel de Ville","€ 1,980 total",https://www.airbnb.com/rooms/23504416?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_nOQ6QJpDswwvWeIp&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.87 (55),N/A,2024-08-02,2024-08-04,No,No,23504416
Apartment in Opéra,N/A,Beautiful Appartment w/ AC in Grands Boulevards,"€ 2,200 total",https://www.airbnb.com/rooms/719994888358485259?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_rYI54LQ8jimg9bMR&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.98 (54),N/A,2024-08-02,2024-08-04,Yes,No,719994888358485259
Apartment in Opéra,N/A,"1 mile to La Concorde
1 mile to La Concorde","€ 1,664 total",https://www.airbnb.com/rooms/1010936552652630839?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_ECpClFEX5%2Fn5CGdc&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.4 (5),N/A,2024-08-02,2024-08-04,No,No,1010936552652630839
Apartment in Épinettes,N/A,2BR Parisian Light by the Canal,"€ 1,252 total",https://www.airbnb.com/rooms/996109172292520941?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_Lb7Geq4Z4BiVvPZ2&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,New,N/A,2024-08-02,2024-08-04,No,No,996109172292520941
Apartment in Bonne-Nouvelle,N/A,"1 mile to Hôtel de Ville
1 mile to Hôtel de Ville","€ 4,881 total",https://www.airbnb.com/rooms/773052174164998718?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_28iQAik4%2FQiUNn5l&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,5.0 (5),N/A,2024-08-02,2024-08-04,Yes,No,773052174164998718
Apartment in Madeleine,N/A,Prime location/ 3bdr/2bth/3tv,"€ 2,350 total",https://www.airbnb.com/rooms/34582727?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_KhwNtrEZXYjCOgSt&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,5.0 (3),N/A,2024-08-02,2024-08-04,No,No,34582727
Apartment in Paris,N/A,"1 mile to La Concorde
1 mile to La Concorde","€ 4,178 total",https://www.airbnb.com/rooms/1107106105376935158?adults=6&check_in=2024-08-02&check_out=2024-08-04&source_impression_id=p3_1711712111_NFryGTiYiEMIJ4mX&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.65 (69),N/A,2024-08-02,2024-08-04,No,No,1107106105376935158
Apartment in Temple,N/A,Montorgueil 100 m² Haussmanienne charming flat,"€ 6,496 total",https://www.airbnb.com/rooms/1040371242865130605?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-08-02&check_out=2024-08-05&source_impression_id=p3_1711712112_CGcNcqPtlQ9Xhz1L&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.72 (39),N/A,2024-08-02,2024-08-04,No,No,1040371242865130605
Apartment in Paris,N/A,"0.7 miles to Hôtel de Ville
0.7 miles to Hôtel de Ville","€ 5,382 total",https://www.airbnb.com/rooms/1078307026615081014?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-08-01&check_out=2024-08-04&source_impression_id=p3_1711712112_%2FUM%2B7HOmZRPixOND&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,4.33 (3),N/A,2024-08-02,2024-08-04,No,No,1078307026615081014
Apartment in Bonne-Nouvelle,N/A,Charming apartment located in Paris 9th,"€ 3,913 total",https://www.airbnb.com/rooms/604844777732616860?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-08-02&check_out=2024-08-05&source_impression_id=p3_1711712112_otLRQrF37AfHbckJ&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,5.0 (4),N/A,2024-08-02,2024-08-04,No,No,604844777732616860
Apartment in Temple,N/A,"1 mile to La Concorde
1 mile to La Concorde","€ 5,331 total",https://www.airbnb.com/rooms/867209627146280811?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-08-01&check_out=2024-08-04&source_impression_id=p3_1711712112_D%2BnRl7cME0y5k%2F%2Bx&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,N/A,N/A,2024-08-02,2024-08-04,Yes,No,867209627146280811
Apartment in Paris,N/A,Family apt ideal for 5 - Nord Marais,"€ 4,263 total",https://www.airbnb.com/rooms/1049742385302004332?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-08-01&check_out=2024-08-04&source_impression_id=p3_1711712112_7aAQgChkfBr4RnHQ&previous_page_section_name=1000&federated_search_id=42653728-4d1c-492c-8593-2290eb7749dd,2,N/A,N/A,2024-08-02,2024-08-04,No,No,1049742385302004332
