Title,Subtitle,Detail,Price,URL,Bedrooms,Review_rating,Superhost,Competitor,Livinparis,Listing_id
Apartment in Temple,N/A,Cozy apartment Grands Boulevards,"€ 3,030 total",https://www.airbnb.com/rooms/1113097884420309883?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_Ymg8F8SFyxw8e0gn&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,New,Superhost,No,No,1113097884420309883
Apartment in Temple,N/A,"10 beds
10 beds
4 bedrooms
,
 · 4 bedrooms","€ 1,982 total",https://www.airbnb.com/rooms/1117316307067713903?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_o8ukBQqEvxSgysKY&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,New,Guest favorite,No,No,1117316307067713903
Apartment in Buttes-Montmartre,N/A,Loft atypique - Paris Centre,"€ 1,609 total",https://www.airbnb.com/rooms/12745392?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_d%2FLWg7zA7B9%2BzydJ&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,4.82 (99),Jun 4 – 8,No,No,12745392
Apartment in Bonne-Nouvelle,N/A,"4 beds
4 beds
3 bedrooms
,
 · 3 bedrooms","€ 1,736 total",https://www.airbnb.com/rooms/48796305?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_dpl4tVhvx2%2FmkcKz&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,4.53 (131),Jun 2 – 6,No,No,48796305
Apartment in Bonne-Nouvelle,N/A,Montmarte duplex 120 m2,"€ 1,838 total",https://www.airbnb.com/rooms/12584603?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_IjwMaWu4jpUYYht6&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,4.61 (279),Jun 4 – 6,No,Yes,12584603
Condo in Opéra,N/A,"5 beds
5 beds
3 bedrooms
,
 · 3 bedrooms","€ 2,946 total",https://www.airbnb.com/rooms/43079986?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_i4GEdyO8T3qa8evR&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,4.62 (34),Jun 3 – 6,No,No,43079986
Apartment in Bonne-Nouvelle,N/A,167 Suite K - Superb apartment in Paris,"€ 3,360 total",https://www.airbnb.com/rooms/1096276964031121612?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_9Ow0MA5AiodOR6i3&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,New,Jun 3 – 6,No,No,1096276964031121612
Apartment in Opéra,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 4,438 total",https://www.airbnb.com/rooms/1079553674758463661?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_Mw4aKdjiyq1RYu2S&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,New,Jun 3 – 6,No,No,1079553674758463661
Apartment in Bonne-Nouvelle,N/A,LivinParis | Luxury 2 Bedrooms Grand-Boulevard II,"€ 1,980 total",https://www.airbnb.com/rooms/1071999494068526946?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_GWKhDjmwfUEa0eKp&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,New,Superhost,No,No,1071999494068526946
Apartment in Opéra,N/A,"3 beds
3 beds
2 bedrooms
,
 · 2 bedrooms","€ 3,554 total",https://www.airbnb.com/rooms/1039081914404298900?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_IqOV3F1%2Frcq91VDL&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,4.73 (11),Superhost,Yes,No,1039081914404298900
Apartment in Paris,N/A,Paris Center tourist place 2min to Opera/Lafayette,"€ 2,575 total",https://www.airbnb.com/rooms/978866370139112379?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_AOXIT0HI6qIbLgIR&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,5.0 (6),N/A,Yes,No,978866370139112379
Apartment in Opéra,N/A,"6 beds
6 beds
6 bedrooms
,
 · 6 bedrooms","€ 4,792 total",https://www.airbnb.com/rooms/1097193063852512017?adults=6&check_in=2024-06-03&check_out=2024-06-07&source_impression_id=p3_1711271416_DzoOaz0NHhgz9iQC&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,New,N/A,No,No,1097193063852512017
Home in Hôpital Saint-Louis,N/A,Superb and new apartment in the Center of Paris,"€ 2,132 total",https://www.airbnb.com/rooms/1061410880674284985?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-04&check_out=2024-06-08&source_impression_id=p3_1711271416_DPCBOqAbBjfgLR4o&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,5.0 (12),N/A,No,No,1061410880674284985
Apartment in Place Vendôme,N/A,"3 beds
3 beds
3 bedrooms
,
 · 3 bedrooms","€ 3,675 total",https://www.airbnb.com/rooms/612080162106232567?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-02&check_out=2024-06-06&source_impression_id=p3_1711271416_sapED%2FihiI1OW2YT&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,4.96 (48),N/A,Yes,No,612080162106232567
Apartment in Bonne-Nouvelle,N/A,Sumptuous apartment Louvre Museum/Palais Royal,"€ 2,938 total",https://www.airbnb.com/rooms/930909044410593072?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-04&check_out=2024-06-06&source_impression_id=p3_1711271416_yhIj1deTkNjmscHX&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,4.94 (31),N/A,Yes,No,930909044410593072
Apartment in Palais-Royal,N/A,"4 beds
4 beds
4 bedrooms
,
 · 4 bedrooms","€ 3,838 total",https://www.airbnb.com/rooms/28730819?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-03&check_out=2024-06-06&source_impression_id=p3_1711271416_3JE1o3dCD6uVGW2K&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,4.92 (173),N/A,No,No,28730819
Apartment in Place Vendôme,N/A,306 Suite Tigre - Superb apartment in Paris,"€ 3,029 total",https://www.airbnb.com/rooms/577939173957247868?adults=6&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-06-03&check_out=2024-06-06&source_impression_id=p3_1711271416_4TH7EeSoRc04DWdG&previous_page_section_name=1000&federated_search_id=e3790ce5-b42a-4fff-87e5-08bdea0af613,2,4.92 (60),N/A,Yes,No,577939173957247868
